Project	Language Code	Prefix	Edits	Editors	Pages	Bytes removed (30d)	Bytes added (30d)	Avg monthly edits	Avg monthly editors
Wikipedia	aae	Wp/aae	1377	14	0	0	372	16	2
Wikipedia	ase	Wp/ase	1583	37	0	0	361	2	2
Wikiquote	tn	Wq/tn	123	10	1872	0	47	4	2
Wiktionary	ba	Wt/ba	4987	47	0	0	1537	2	2
Wikipedia	wym	Wp/wym	1685	57	0	-17	229	8	2
Wiktionary	ht	Wt/ht	1710	38	3910	-1	557	46	2
Wikiquote	chy	Wq/chy	17	8	0	0	3	4	2
Wikipedia	nog	Wp/nog	9674	66	0	0	1126	3	2
Wikipedia	sus	Wp/sus	6	5	0	0	3	2	2
Wikipedia	bwr	Wp/bwr	202	16	0	0	68	12	2
Wikipedia	cpx	Wp/cpx	5893	56	0	0	2658	3	2
Wiktionary	lbe	Wt/lbe	2	2	0	0	2	2	2
Wikibooks	mni	Wb/mni	495	8	0	0	250	8	2
Wiktionary	zea	Wt/zea	9859	54	13491	-13	3401	103	2
Wikipedia	lue	Wp/lue	33	2	0	0	13	17	2
Wikipedia	sjd	Wp/sjd	1646	51	15001	-29	317	32	2
Wikipedia	bgn	Wp/bgn	19491	154	55	-24	7802	4	2
Wikibooks	ary	Wb/ary	5	2	0	0	2	5	2
Wikipedia	lou	Wp/lou	191	5	0	0	60	14	2
Wikibooks	syc	Wb/syc	8	4	0	0	2	2	2
Wikivoyage	ca	Wy/ca	1862	74	0	0	134	3	2
Wikivoyage	ko	Wy/ko	3884	147	524	0	477	11	2
Wikivoyage	sk	Wy/sk	1484	33	146	0	270	10	2
Wikipedia	ojs	Wp/ojs	37	5	0	0	23	4	2
Wiktionary	chy	Wt/chy	86	2	0	0	60	43	2
Wikipedia	yrl	Wp/yrl	731	41	0	0	155	18	2
Wikipedia	gju	Wp/gju	56	11	107	0	10	11	2
Wikinews	azb	Wn/azb	323	16	0	0	104	3	2
Wikinews	si	Wn/si	1224	28	15008	-7	380	46	2
Wikipedia	sdh	Wp/sdh	3605	62	0	0	929	3	2
Wikipedia	cho	Wp/cho	987	51	0	0	128	22	2
Wikipedia	tzm	Wp/tzm	5186	115	0	0	832	3	2
Wikipedia	yah	Wp/yah	38	12	0	0	20	2	2
Wiktionary	jax	Wt/jax	3	2	0	0	2	3	2
Wiktionary	mus	Wt/mus	65	2	0	0	60	33	2
Wikipedia	lar	Wp/lar	3	2	0	0	2	3	2
Wikinews	rue	Wn/rue	6	2	0	0	2	6	2
Wikipedia	hoc	Wp/hoc	456	37	1307	-8	116	21	2
Wikipedia	jpr	Wp/jpr	3	2	0	0	1	3	2
Wikipedia	kum	Wp/kum	6710	81	86	0	838	4	2
Wikivoyage	gu	Wy/gu	61	10	0	0	19	4	2
Wikivoyage	ml	Wy/ml	1955	65	91	-309	257	6	2
Wikipedia	arn	Wp/arn	4740	136	0	-11	625	15	2
Wikipedia	bin	Wp/bin	9	2	2338	-1346	4	4	2
Wikiquote	ne	Wq/ne	3307	29	0	0	516	9	2
Wikipedia	suz	Wp/suz	10	3	464	-33	3	2	2
Wikipedia	ttt	Wp/ttt	322	24	0	0	108	18	2
Wikipedia	wls	Wp/wls	3607	44	0	0	784	6	2
Wiktionary	gil	Wt/gil	61	2	0	0	44	61	2
Wikibooks	mnw	Wb/mnw	160	10	0	0	101	2	2
Wikivoyage	ace	Wy/ace	226	6	0	0	66	36	2
Wikipedia	luo	Wp/luo	122	16	0	0	46	2	2
Wikivoyage	da	Wy/da	2961	64	0	0	472	4	2
Wikivoyage	ta	Wy/ta	818	33	0	0	288	2	2
Wikipedia	aoa	Wp/aoa	7	2	0	0	2	7	2
Wikipedia	sla	Wp/sla	46	7	0	0	1	2	2
Wikipedia	wal	Wp/wal	1464	17	350410	-623	759	10	2
Wikivoyage	kri	Wy/kri	34	2	0	0	8	17	2
Wikipedia	isk	Wp/isk	22	2	0	0	16	11	2
Wikibooks	skr	Wb/skr	714	29	0	0	140	4	2
Wikipedia	cia	Wp/cia	13	2	0	0	8	13	2
Wiktionary	ce	Wt/ce	61	7	4058	-5	24	14	2
Wiktionary	mzn	Wt/mzn	129	17	0	0	69	2	2
Wikibooks	ga	Wb/ga	11	6	0	0	3	2	2
Wikipedia	mxt	Wp/mxt	740	35	0	0	119	2	2
Wikivoyage	ms	Wy/ms	287	23	0	0	93	11	2
Wikipedia	acm	Wp/acm	394	12	753	-40	127	20	2
Wikipedia	brh	Wp/brh	4584	68	8	0	1234	2	2
Wikiquote	olo	Wq/olo	1	1	0	0	1	1	1
Wikipedia	taj	Wp/taj	288	21	6	0	100	1	1
Wikipedia	chb	Wp/chb	483	9	0	0	69	1	1
Wikiquote	wuu	Wq/wuu	33	10	0	0	10	1	1
Wikipedia	txn	Wp/txn	1	1	0	0	1	1	1
Wikipedia	xmm	Wp/xmm	457	26	0	0	126	2	1
Wiktionary	igl	Wt/igl	17	3	1085	-38	9	1	1
Wikipedia	hrx	Wp/hrx	2729	37	52	0	392	4	1
Wiktionary	mh	Wt/mh	1579	7	0	0	677	14	1
Wikipedia	jra	Wp/jra	1	1	0	0	1	1	1
Wiktionary	ssf	Wt/ssf	1853	13	0	0	1453	1	1
Wikibooks	or	Wb/or	308	15	0	0	6	2	1
Wikivoyage	as	Wy/as	13	5	0	0	4	2	1
Wikinews	am	Wn/am	21	7	0	0	3	2	1
Wikipedia	mui	Wp/mui	1651	41	0	0	244	2	1
Wikinews	hnd	Wn/hnd	14	5	0	0	4	1	1
Wikivoyage	mnc	Wy/mnc	7	4	0	0	1	1	1
Wikinews	or	Wn/or	92	8	0	0	31	1	1
Wikivoyage	yi	Wy/yi	16	4	0	0	5	2	1
Wikipedia	rut	Wp/rut	101	25	0	0	14	1	1
Wikiquote	grc	Wq/grc	409	19	0	0	56	1	1
Wikipedia	smj	Wp/smj	266	19	0	0	66	2	1
Wikipedia	sxu	Wp/sxu	178	34	0	0	31	3	1
Wikipedia	bzs	Wp/bzs	254	28	0	0	13	4	1
Wikiquote	tk	Wq/tk	4	3	0	0	3	2	1
Wiktionary	av	Wt/av	72	15	0	0	24	1	1
Wikipedia	fit	Wp/fit	11009	85	512	0	1845	73	1
Wikiquote	ast	Wq/ast	257	26	0	0	42	5	1
Wikipedia	hil	Wp/hil	8272	79	13347	-183	2147	1	1
Wikipedia	jkr	Wp/jkr	15	1	0	0	13	15	1
Wikibooks	bcc	Wb/bcc	14	6	0	0	5	1	1
Wiktionary	sgh	Wt/sgh	2	1	0	0	1	2	1
Wikipedia	kru	Wp/kru	16	3	0	0	6	1	1
Wikivoyage	acm	Wy/acm	2	1	0	0	1	2	1
Wikipedia	lus	Wp/lus	3688	86	317	-361	756	1	1
Wikibooks	yo	Wb/yo	7	4	0	0	5	1	1
Wikinews	fur	Wn/fur	6	3	0	0	3	3	1
Wikivoyage	lt	Wy/lt	92	13	25	0	22	5	1
Wikinews	ne	Wn/ne	853	26	0	0	194	2	1
Wikipedia	pcc	Wp/pcc	34	13	0	0	8	3	1
Wikipedia	rmq	Wp/rmq	65	5	0	0	10	25	1
Wikiquote	dtp	Wq/dtp	7	3	0	0	3	1	1
Wikipedia	bhb	Wp/bhb	7	4	0	0	3	1	1
Wikiquote	my	Wq/my	337	12	0	0	114	1	1
Wikipedia	surzh	Wp/surzh	99	18	0	0	1	1	1
Wikipedia	btz	Wp/btz	151	23	0	0	26	5	1
Wikiquote	sva	Wq/sva	4	2	0	0	3	1	1
Wikipedia	tmz	Wp/tmz	8	3	0	0	1	1	1
Wikipedia	cps	Wp/cps	726	29	0	0	123	1	1
Wiktionary	aqc	Wt/aqc	1	1	0	0	1	1	1
Wikipedia	wbl	Wp/wbl	122	22	462	0	55	1	1
Wikipedia	ett	Wp/ett	10	5	0	0	1	1	1
Wiktionary	frp	Wt/frp	916	10	0	0	255	11	1
Wikiquote	ain	Wq/ain	11	4	0	0	3	3	1
Wikipedia	haa	Wp/haa	7	2	0	0	6	1	1
Wiktionary	kri	Wt/kri	24	2	0	0	13	8	1
Wiktionary	rut	Wt/rut	2	1	0	0	1	2	1
Wikibooks	mnc	Wb/mnc	114	7	0	0	38	9	1
Wiktionary	za	Wt/za	604	38	0	0	177	1	1
Wikibooks	uz	Wb/uz	35	16	0	0	14	1	1
Wikipedia	mnp	Wp/mnp	1039	35	869	0	370	2	1
Wikivoyage	ku	Wy/ku	43	11	0	0	9	1	1
Wikivoyage	su	Wy/su	86	8	0	0	35	3	1
Wikipedia	otk	Wp/otk	11	5	0	0	1	1	1
Wikinews	tl	Wn/tl	470	29	0	0	94	1	1
Wikipedia	aln	Wp/aln	592	51	0	0	130	2	1
Wikiquote	mni	Wq/mni	48	8	0	0	10	5	1
Wikipedia	tlh	Wp/tlh	19	8	0	0	2	2	1
Wikipedia	cmn	Wp/cmn	65	27	0	0	3	1	1
Wiktionary	ain	Wt/ain	98	6	0	0	14	1	1
Wikipedia	ess	Wp/ess	223	38	0	0	76	1	1
Wiktionary	dng	Wt/dng	1	1	0	0	1	1	1
Wikipedia	zmi	Wp/zmi	24	4	0	0	5	2	1
Wiktionary	kge	Wt/kge	88	5	0	0	27	15	1
Wikipedia	ist	Wp/ist	117	19	0	0	26	1	1
Wikibooks	am	Wb/am	12	5	0	0	5	4	1
Wiktionary	pag	Wt/pag	2406	8	0	0	2345	1	1
Wikibooks	lad	Wb/lad	728	17	0	0	353	7	1
Wiktionary	wuu	Wt/wuu	71267	36	0	0	34414	59	1
Wikipedia	lkt	Wp/lkt	1467	68	0	0	321	1	1
Wikibooks	snd	Wb/snd	2	1	0	0	2	2	1
Wikivoyage	bxr	Wy/bxr	4	2	0	0	2	2	1
Wikinews	be	Wn/be	810	21	5522	-5502	394	6	1
Wikivoyage	kk	Wy/kk	58	8	0	-24	19	1	1
Wikipedia	nd	Wp/nd	374	40	0	0	84	2	1
Wikinews	ky	Wn/ky	29	10	0	0	7	3	1
Wikinews	sva	Wn/sva	2	2	0	0	1	1	1
Wikipedia	ses	Wp/ses	33	7	0	0	17	1	1
Wikipedia	ber	Wp/ber	20	10	0	0	1	5	1
Wikipedia	brx	Wp/brx	1709	43	68	0	613	1	1
Wikiquote	rw	Wq/rw	18	6	0	0	6	1	1
Wikipedia	tin	Wp/tin	33	20	0	0	9	1	1
Wikipedia	ckt	Wp/ckt	2804	75	0	0	577	2	1
Wiktionary	ace	Wt/ace	45	15	0	0	10	1	1
Wikipedia	ulc	Wp/ulc	42	9	0	0	6	1	1
Wiktionary	cho	Wt/cho	2	1	0	0	2	2	1
Wikipedia	yrk	Wp/yrk	850	67	0	0	138	1	1
Wikipedia	gil	Wp/gil	337	24	0	0	61	1	1
Wiktionary	nap	Wt/nap	812	25	0	0	472	7	1
Wikipedia	liv	Wp/liv	10055	117	0	0	1092	1	1
Wikibooks	sd	Wb/sd	67	13	0	0	15	2	1
Wikivoyage	bcl	Wy/bcl	42	8	0	0	19	5	1
Wikipedia	mic	Wp/mic	1566	33	0	0	295	1	1
Wikivoyage	kaa	Wy/kaa	1	1	0	0	1	1	1
Wikipedia	myr	Wp/myr	9	3	0	0	3	1	1
Wikivoyage	ne	Wy/ne	215	18	0	0	42	2	1
Wikipedia	oaa	Wp/oaa	475	17	0	0	65	1	1
Wikipedia	pua	Wp/pua	115	16	0	0	17	1	1
Wikipedia	aeb	Wp/aeb	402	44	0	0	102	1	1
Wikiquote	kaa	Wq/kaa	4	3	0	0	3	1	1
Wikiquote	or	Wq/or	1805	42	0	-91	266	3	1
Wikipedia	tbz	Wp/tbz	7	2	0	0	4	1	1
Wikiquote	xmf	Wq/xmf	89	6	0	0	36	3	1
Wikipedia	dje	Wp/dje	3	2	0	0	2	2	1
Wikipedia	xsr	Wp/xsr	12	4	145	0	3	1	1
Wiktionary	ilo	Wt/ilo	29	7	0	0	9	1	1
Wikipedia	hsn	Wp/hsn	843	61	12809	-29	146	1	1
Wiktionary	mnc	Wt/mnc	22456	25	0	0	7695	1	1
Wikibooks	dtp	Wb/dtp	29	9	0	0	7	1	1
Wikipedia	mfb	Wp/mfb	134	15	0	0	24	1	1
Wikinews	ang	Wn/ang	145	18	0	0	36	1	1
Wikipedia	mus	Wp/mus	160	34	43	0	30	4	1
Wikinews	hr	Wn/hr	268	17	0	0	78	1	1
Wikivoyage	mni	Wy/mni	34	10	0	0	11	1	1
Wikinews	ppl	Wn/ppl	1926	29	0	0	226	2	1
Wikivoyage	yue	Wy/yue	391	40	0	0	134	7	1
Wikipedia	sms	Wp/sms	1776	25	0	0	295	1	1
Wikipedia	bol	Wp/bol	1710	46	57	0	469	2	1
Wikipedia	tuq	Wp/tuq	39	4	0	0	8	3	1
Wikipedia	czh	Wp/czh	17	7	0	0	9	2	1
Wikipedia	fkv	Wp/fkv	2866	53	0	0	643	3	1
Wikipedia	hne	Wp/hne	69	17	417	-9	29	1	1
Wikipedia	jpn	Wp/jpn	82	21	0	0	2	1	1
Wiktionary	shi	Wt/shi	1577	22	1339	-5	510	1	1
Wikipedia	ksw	Wp/ksw	1248	29	10812	-11	367	2	1
Wikibooks	olo	Wb/olo	1	1	0	0	1	1	1
Wikivoyage	af	Wy/af	141	7	0	0	80	2	1
Wikipedia	lzz	Wp/lzz	2443	59	0	-1	798	1	1
Wikinews	ace	Wn/ace	45	4	0	0	10	1	1
Wikivoyage	fit	Wy/fit	8	3	0	0	3	1	1
Wikipedia	mqm	Wp/mqm	1	1	0	0	1	1	1
Wikinews	gv	Wn/gv	5	2	0	0	1	4	1
Wikivoyage	lv	Wy/lv	1377	29	0	-27	319	1	1
Wikinews	nia	Wn/nia	232	8	0	0	70	7	1
Wikivoyage	tt	Wy/tt	311	18	49	0	106	4	1
Wikipedia	pdt	Wp/pdt	1793	62	0	0	322	3	1
Wikinews	wuu	Wn/wuu	60	9	0	0	18	1	1
Wikipedia	rop	Wp/rop	36	8	0	0	16	1	1
Wikipedia	aqc	Wp/aqc	155	5	63460	-395	79	2	1
Wikiquote	fat	Wq/fat	8	5	1186	-23	5	1	1
Wikipedia	slr	Wp/slr	1345	81	15	0	418	2	1
Wikipedia	bhh	Wp/bhh	109	12	0	0	32	17	1
Wikiquote	nap	Wq/nap	49	8	0	0	17	1	1
Wikipedia	trw	Wp/trw	44	9	175	0	15	1	1
Wiktionary	arn	Wt/arn	338	14	0	0	51	15	1
Wikipedia	wep	Wp/wep	33	10	0	0	14	2	1
Wikipedia	eve	Wp/eve	83	17	0	0	8	1	1
Wiktionary	gcf	Wt/gcf	190	10	0	0	90	2	1
Wikiquote	an	Wq/an	112	13	551	-26	36	1	1
Wikipedia	hac	Wp/hac	384	28	0	0	121	1	1
Wikipedia	jdt	Wp/jdt	116	26	0	0	37	5	1
Wikibooks	bal	Wb/bal	20	8	0	0	5	2	1
Wiktionary	sat	Wt/sat	10688	41	42401	-68	2138	1	1
Wikibooks	wuu	Wb/wuu	121	18	0	0	31	2	1
Wikivoyage	cy	Wy/cy	131	14	0	0	25	1	1
Wikipedia	mns	Wp/mns	694	32	0	0	130	1	1
Wikinews	cdo	Wn/cdo	6697	40	0	0	1065	1	1
Wikivoyage	ky	Wy/ky	55	8	0	0	12	6	1
Wikipedia	niv	Wp/niv	60	25	35	0	9	1	1
Wikinews	myv	Wn/myv	34	5	0	0	13	4	1
Wikipedia	otq	Wp/otq	14	8	0	0	7	1	1
Wikinews	tr	Wn/tr	121	14	0	0	52	1	1
Wikipedia	ssf	Wp/ssf	3118	57	0	0	1450	1	1
Wikipedia	bts	Wp/bts	15	4	0	0	3	7	1
Wikiquote	skr	Wq/skr	138	10	605	0	67	2	1
Wikipedia	tmh	Wp/tmh	6	4	0	0	1	1	1
Wiktionary	alu	Wt/alu	1	1	0	0	1	1	1
Wikipedia	vmw	Wp/vmw	3099	104	0	0	1011	7	1
Wikipedia	est	Wp/est	8	4	0	0	1	2	1
Wiktionary	dtp	Wt/dtp	112	12	0	0	41	1	1
Wikipedia	zza	Wp/zza	28	11	0	0	1	1	1
Wikipedia	gvr	Wp/gvr	21	9	41	0	6	1	1
Wiktionary	ki	Wt/ki	67	7	0	0	42	1	1
Wiktionary	pms	Wt/pms	9609	32	0	0	2756	2	1
Wikipedia	kjj	Wp/kjj	618	26	0	0	110	1	1
Wikibooks	mai	Wb/mai	7	3	0	0	1	4	1
Wiktionary	wym	Wt/wym	1023	8	25	0	545	163	1
Wikipedia	mkn	Wp/mkn	534	18	0	0	180	1	1
Wikinews	bgn	Wn/bgn	12	5	0	0	5	2	1
Wikipedia	nia	Wp/nia	13	6	0	0	1	3	1
Wikinews	lv	Wn/lv	10	3	0	0	6	3	1
Wikipedia	rad	Wp/rad	157	2	1229	-20	27	22	1
Wikipedia	akb	Wp/akb	47	16	0	0	7	4	1
Wikipedia	sgh	Wp/sgh	302	32	833	-30	102	8	1
Wikiquote	mk	Wq/mk	22	4	0	0	5	1	1
Wikipedia	btd	Wp/btd	92	23	0	0	18	6	1
Wikiquote	sd	Wq/sd	30	9	0	0	9	2	1
Wikipedia	tkl	Wp/tkl	395	35	0	0	126	1	1
Wikipedia	ckv	Wp/ckv	423	19	0	0	125	1	1
Wiktionary	acm	Wt/acm	27	2	0	-5	8	26	1
Wikipedia	uln	Wp/uln	45	8	0	0	10	2	1
Wikipedia	elm	Wp/elm	26	7	0	0	8	1	1
Wiktionary	kab	Wt/kab	1208	36	0	0	461	3	1
Wikipedia	ii	Wp/ii	2801	74	0	-9	910	5	1
Wiktionary	oaa	Wt/oaa	449	4	0	0	145	1	1
Wikipedia	kim	Wp/kim	17	4	0	0	4	3	1
Wikibooks	ha	Wb/ha	40	19	0	0	13	1	1
Wiktionary	tzm	Wt/tzm	36	10	0	0	15	1	1
Wikipedia	ljp	Wp/ljp	96	24	0	0	24	3	1
Wikibooks	se	Wb/se	138	13	0	0	31	2	1
Wikivoyage	be	Wy/be	403	31	6895	0	96	3	1
Wikipedia	min	Wp/min	7	6	0	0	1	1	1
Wikivoyage	ki	Wy/ki	8	3	0	0	3	6	1
Wikipedia	mzs	Wp/mzs	216	12	0	0	87	1	1
Wikinews	kaa	Wn/kaa	275	7	0	0	113	2	1
Wikivoyage	pa	Wy/pa	91	9	0	0	38	20	1
Wikipedia	oac	Wp/oac	23	8	0	0	8	1	1
Wikipedia	pzh	Wp/pzh	2808	21	0	0	563	2	1
Wikipedia	agx	Wp/agx	53	26	0	0	11	1	1
Wikiquote	kge	Wq/kge	54	3	0	0	20	1	1
Wikipedia	srb	Wp/srb	15	6	0	0	7	1	1
Wikiquote	pa	Wq/pa	225	20	0	0	52	1	1
Wikiquote	yue	Wq/yue	1266	40	0	0	427	3	1
Wikipedia	dng	Wp/dng	517	54	0	0	141	6	1
Wiktionary	cbk	Wt/cbk	330	7	0	0	109	2	1
Wikipedia	gay	Wp/gay	77	21	0	0	12	1	1
Wikibooks	ee	Wb/ee	1	1	0	0	1	1	1
Wiktionary	tay	Wt/tay	19	5	0	0	12	1	1
Wikibooks	sat	Wb/sat	30	6	0	0	12	1	1
Wikivoyage	azb	Wy/azb	1623	25	26	0	733	4	1
Wikipedia	mfe	Wp/mfe	520	45	0	0	110	1	1
Wikinews	anp	Wn/anp	144	10	0	0	70	3	1
Wikivoyage	hy	Wy/hy	628	56	34	0	160	2	1
Wikipedia	mvf	Wp/mvf	643	43	0	0	106	2	1
Wikinews	hu	Wn/hu	7483	160	0	0	1150	1	1
Wikivoyage	mr	Wy/mr	813	24	0	0	136	3	1
Wikipedia	nxq	Wp/nxq	4	2	0	0	2	1	1
Wikipedia	pse	Wp/pse	121	36	0	0	53	1	1
Wikipedia	abq	Wp/abq	128	32	0	0	25	1	1
Wikipedia	saz	Wp/saz	51	19	0	0	15	1	1
